confidence,agg_type,dest_table,ldb.ltbl,name_score,col_score,total,top2,top3
HIGH,liquidacionDiariaCredito_type,LIQUIDACIONDIARIACREDITO_TYPE,dbCR.crtbcred_liqd_diar,1.0,0.942,6.242,dbFC.fctbdeta_liqd_cred,dbFC.fctbliqd_msva_rent_cred
HIGH,devengamientoCarteraDetalle_type,DEVENGAMIENTOCARTERADETALLE_TYPE,dbCR.crtbdvgo_cart_deta,1.0,0.915,6.215,dbCR.crtbdvgo_cart_deta_temp,dbCR.crtbdvgo_cart_deta_mens
HIGH,cobranzaJudicialDetalle_type,COBRANZAJUDICIALDETALLE_TYPE,dbCR.crtbcobr_judi_deta,1.0,0.825,6.125,dbCR.crtbcobr_judi_dist,dbCR.crtbtipo_cobr_judi
HIGH,documentoCredito_type,DOCUMENTOCREDITO_TYPE,dbCR.crtbdocu_cred,1.0,0.8,6.1,dbCG.cgtbtipo_docu_cdio,dbCR.crtbdcto_cred
HIGH,recuperacionConvenio_type,RECUPERACIONCONVENIO_TYPE,dbCR.crtbrecu_conv,1.0,0.659,5.959,dbCR.crtbconv_pago,dbCR.crtbdeud_conv
HIGH,obligacionRol_type,OBLIGACIONROL_TYPE,dbCR.crtbobli_rol,1.0,0.65,5.95,dbCR.crtbobli_dcto,dbCR.crtoblig
HIGH,devengamientoCartera_type,DEVENGAMIENTOCARTERA_TYPE,dbCR.crtbdvgo_cart_deta,1.0,0.622,5.922,dbCR.crtbdvgo_cart_deta_temp,dbCR.crtbdvgo_cart_deta_diar
HIGH,cobranzaJudicial_type,COBRANZAJUDICIAL_TYPE,dbCR.crtbcobr_judi_dist,1.0,0.492,5.792,dbCR.crtbcobr_judi_deta,dbCR.crtbtipo_cobr_judi
HIGH,rubroCobranza_type,RUBROCOBRANZA_TYPE,dbCR.crtrubros_cobr,1.0,0.444,5.744,dbCR.crtbcobr_judi_dist,dbCR.crtbcobr_judi_deta
HIGH,planPago_type,PLANPAGO_TYPE,dbCR.crtplpag,1.0,0.682,5.682,dbCR.crtplpag_segu_incd,dbCR.crtplpag_segu_vehi
HIGH,procesoAccionType,PROCESOACCIONTYPE,dbCT.cttbproc_obse_tran,1.0,0.425,5.425,dbCR.crtbproc_reve_masi,dbFC.fctbAPS_acci
HIGH,saldoCarteraDetalle_type,SALDOCARTERADETALLE_TYPE,dbCR.crtbsald_cart_deta,0.667,0.882,4.516,dbCR.crtbdvgo_cart_deta,dbCR.crtbdvgo_cart_deta_temp
HIGH,devolucionMasivaDetalle_type,DEVOLUCIONMASIVADETALLE_TYPE,dbCR.crtbdevo_masi_deta,0.667,0.855,4.489,dbFC.sfct_devolucion_detalle,dbCR.crtbdbso_devo
HIGH,cobranzaJudicialDistribucion_type,COBRANZAJUDICIALDISTRIBUCION_TYPE,dbCR.crtbcobr_judi_dist,0.667,0.761,4.395,dbCR.crtbcobr_judi_deta,dbCR.crtbtipo_cobr_judi
HIGH,rubrosCobranzaDetalle_type,RUBROSCOBRANZADETALLE_TYPE,dbCR.crtrubros_cobr,0.667,0.762,4.395,dbCR.crtbcobr_judi_deta,dbFC.fctbdeta_liqd_ante_cnta_cobr
HIGH,convenioPagoCredito_type,CONVENIOPAGOCREDITO_TYPE,dbCR.crtbconv_pago,0.667,0.719,4.352,dbCR.crtbesta_conv_cred,dbCR.crtbplpg_conv
HIGH,estadoConvenioCredito_type,ESTADOCONVENIOCREDITO_TYPE,dbCR.crtbesta_conv_cred,0.667,0.713,4.346,dbCR.crtbcred_prea_whts,dbCR.crtbrecu_conv
HIGH,autorizacionCreditoDetalle_type,AUTORIZACIONCREDITODETALLE_TYPE,dbCR.crtbcred_autr_deta,0.667,0.64,4.273,dbFC.fctbdeta_liqd_cred,dbCR.crtbcred_autr
HIGH,gestionCobranzaAsignacion_type,GESTIONCOBRANZAASIGNACION_TYPE,dbCR.crtbgest_cart_asig,0.667,0.635,4.268,dbCR.crtbcobr_judi_dist,dbCR.crtbgest_mail
HIGH,planPagoAjuste_type,PLANPAGOAJUSTE_TYPE,dbCR.crtbplan_ajus,0.667,0.625,4.258,dbCR.crtplpag,dbCR.crtplpag_segu_incd
HIGH,calificacionCarteraDetalle_type,CALIFICACIONCARTERADETALLE_TYPE,dbCR.crtbdvgo_cart_deta_diar,0.667,0.525,4.159,dbCR.crtbdvgo_cart_deta,dbCR.crtbdvgo_cart_deta_mens
HIGH,reporteSBSOperacionAnterior_type,REPORTESBSOPERACIONANTERIOR_TYPE,dbCR.crtbctrl_oper_ante_sibs,0.667,0.506,4.139,dbCR.crtbdope_ante_sibs,dbCR.crtbdsal_oper
HIGH,reporteSBSGarantiaReal_type,REPORTESBSGARANTIAREAL_TYPE,dbCR.crtbinfo_gara_real_sibs,0.667,0.483,4.117,dbCR.crtbgara_real,dbCR.crtbgara_real_hist
