agg_type,dest_table,dest_exists,#cols,pk,trg,trg_status,usp,usp_status,cfg_oracle,cfg_canonicos,wrapper_canonicos,legacy_top1,legacy_top2,legacy_top3
abonoExtraordinario_type,ABONOEXTRAORDINARIO_TYPE,True,19,ID,N,,N,,N,N,N,,,
autorizacionCreditoDetalle_type,AUTORIZACIONCREDITODETALLE_TYPE,True,25,ID,N,,N,,N,N,N,dbCG.cgtbprod_cnta_auto,dbCR.crtbdbso_auto,dbCR.crtoblig
autorizacionCredito_type,AUTORIZACIONCREDITO_TYPE,True,35,ID,N,,N,,N,N,N,dbCG.cgtbprod_cnta_auto,dbCR.crtbdbso_auto,dbCR.crtoblig
auxDatosCobrosAdicionalesType,AUXDATOSCOBROSADICIONALESTYPE,True,5,ID,N,,N,,N,N,N,dbCG.cgtbauxi,dbCG.cgtbgrup_auxi,dbCG.cgtbgrup_auxi_deta
calificacionCarteraDetalle_type,CALIFICACIONCARTERADETALLE_TYPE,True,17,ID,N,,N,,N,N,N,,,
calificacionCartera_type,CALIFICACIONCARTERA_TYPE,True,19,ID,N,,N,,N,N,N,,,
cancelacionCredito_type,CANCELACIONCREDITO_TYPE,True,11,ID,N,,N,,N,N,N,dbCR.crtoblig,dbCR.crtoblig_tmp,dbFC.sfct_tarjetas_credito
caucionCredito_type,CAUCIONCREDITO_TYPE,True,9,ID,N,,N,,N,N,N,dbCR.crtoblig,dbCR.crtoblig_tmp,dbFC.sfct_tarjetas_credito
cobranzaJudicialDetalle_type,COBRANZAJUDICIALDETALLE_TYPE,True,9,ID,N,,N,,N,N,N,dbCR.crtbcobr_judi_deta,dbCR.crtbcobr_judi_dist,dbCR.crtbtipo_cobr_judi
cobranzaJudicialDistribucion_type,COBRANZAJUDICIALDISTRIBUCION_TYPE,True,23,ID,N,,N,,N,N,N,dbCR.crtbcobr_judi_dist,dbCR.crtbcobr_judi_deta,dbCR.crtbtipo_cobr_judi
cobranzaJudicial_type,COBRANZAJUDICIAL_TYPE,True,26,ID,N,,N,,N,N,N,dbCR.crtbcobr_judi_deta,dbCR.crtbcobr_judi_dist,dbCR.crtbtipo_cobr_judi
