aggregate_type,tablas_legacy,oracle_table,oracle_col,sugerencia_legacy_col,mapeo_final
agendaMailAfiliadoType,fctbagen_mail,AGENDAMAILAFILIADO_TYPE,CODIGOEMPRESA,,
agendaMailAfiliadoType,fctbagen_mail,AGENDAMAILAFILIADO_TYPE,CODIGOCEDU,,
agendaMailAfiliadoType,fctbagen_mail,AGENDAMAILAFILIADO_TYPE,SECUENCIAREGISTRO,,
agendaMailAfiliadoType,fctbagen_mail,AGENDAMAILAFILIADO_TYPE,DESCRIPCIONMAIL,,
agendaMailAfiliadoType,fctbagen_mail,AGENDAMAILAFILIADO_TYPE,INDICADORPRIN,,
agendaMailAfiliadoType,fctbagen_mail,AGENDAMAILAFILIADO_TYPE,USUARIOINGRESA,,
agendaMailAfiliadoType,fctbagen_mail,AGENDAMAILAFILIADO_TYPE,FECHAINGRESO,,
agendaMailAfiliadoType,fctbagen_mail,AGENDAMAILAFILIADO_TYPE,USUARIOMODIFICA,,
agendaMailAfiliadoType,fctbagen_mail,AGENDAMAILAFILIADO_TYPE,FECHAMODIFICACION,,
agendaMailAfiliadoType,fctbagen_mail,AGENDAMAILAFILIADO_TYPE,CODIGOUSUELIM,,
agendaMailAfiliadoType,fctbagen_mail,AGENDAMAILAFILIADO_TYPE,FECHAELIMINACION,,
agendaMailAfiliadoType,fctbagen_mail,AGENDAMAILAFILIADO_TYPE,ESTADOREGISTRO,,
areaLaboralParticipeType,fctbarea_lbrl,AREALABORALPARTICIPE_TYPE,CODIGOAREALABORAL,,
areaLaboralParticipeType,fctbarea_lbrl,AREALABORALPARTICIPE_TYPE,DESCRIPCIONAREALABORAL,,
areaLaboralParticipeType,fctbarea_lbrl,AREALABORALPARTICIPE_TYPE,ESTADOREGISTRO,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,CODIGOTIPOIDENTIFICACION,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,IDENTIFICACION,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,SECUENCIAAUDITORIA,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,FECHAMODIFICACION,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,CAMPOMODIFICADO,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,VALORANTERIOR,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,VALORNUEVO,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,CODIGOUSUARIO,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,TIPOOPERACION,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,ORIGENMODIFICACION,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,ESTADO,ce_estado,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,CODIGOCUENTA,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,TIPOIDENTIFICACION,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,RELACIONPRODUCTO,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,CODIGOEMPRESA,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,SECUENCIAACTUALIZACION,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,NUMEROCEDULARECIBECOREO,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,NUMEROTELEFONOCONVENCIONAL,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,NUMEROTELEFONOCELULAR,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,DIRECCIONPATRONO,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,DESCRIPCIONINSTITUCION,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,USUARIOINGRESA,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,FECHACREACION,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,HORAINGRESO,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,CODIGOCAMPOAMODIFICAR,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,NOMBRECAMPOAMODIFICAR,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,DESCRIPCIONCAMPOAMODIFICAR,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,HORACREACION,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,DESCRIPCIONADICIONAL,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,CODIGOMOTIVOMANTENIMIENTO,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,NUMEROTRANSACCION,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,CODIGOTRANSACCIONUTILIZADA,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,HORAGENERACIONREGISTRO,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,INDICADORCONTRATOCESANTIA,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,NIVELAPORTE,ci_nivelaporte,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,VALORDESCUENTOHIPOTECARIO,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,CODIGOCATEGORIA,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,CEDULACOORDINADOR,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,PORCENTAJECAM,,
auditoriaAfiliadoType,"cttbafil_audi,cttbtabl_afil,fctbaudi_actu_afil,fctbaudi_movi,sfct_afiliado_auditor,sfct_motivo_mant_afiliados",AUDITORIAAFILIADO_TYPE,PORCENTAJEFUNCIONAL,,
beneficiarioParticipeType,"sfct_beneficiario,sfct_beneficiario_retiro",BENEFICIARIOPARTICIPE_TYPE,APELLIDOSBENEFICIARIOS,,
beneficiarioParticipeType,"sfct_beneficiario,sfct_beneficiario_retiro",BENEFICIARIOPARTICIPE_TYPE,CODIGOBANCOPAGO,,
beneficiarioParticipeType,"sfct_beneficiario,sfct_beneficiario_retiro",BENEFICIARIOPARTICIPE_TYPE,CODIGOEMPRESA,,
beneficiarioParticipeType,"sfct_beneficiario,sfct_beneficiario_retiro",BENEFICIARIOPARTICIPE_TYPE,CODIGOUSUARIOINGRESOREGISTRO,,
beneficiarioParticipeType,"sfct_beneficiario,sfct_beneficiario_retiro",BENEFICIARIOPARTICIPE_TYPE,CODIGOUSUARIOMODIFICOREGISTRO,,
beneficiarioParticipeType,"sfct_beneficiario,sfct_beneficiario_retiro",BENEFICIARIOPARTICIPE_TYPE,ESTATUSDELBENEFICIARIO,,
beneficiarioParticipeType,"sfct_beneficiario,sfct_beneficiario_retiro",BENEFICIARIOPARTICIPE_TYPE,FECHACREACIONREGISTRO,,
beneficiarioParticipeType,"sfct_beneficiario,sfct_beneficiario_retiro",BENEFICIARIOPARTICIPE_TYPE,FECHAMODIFICACION,,
beneficiarioParticipeType,"sfct_beneficiario,sfct_beneficiario_retiro",BENEFICIARIOPARTICIPE_TYPE,NOMBRESBENEFICIARIO,,
beneficiarioParticipeType,"sfct_beneficiario,sfct_beneficiario_retiro",BENEFICIARIOPARTICIPE_TYPE,NUMEROCEDULA,,
beneficiarioParticipeType,"sfct_beneficiario,sfct_beneficiario_retiro",BENEFICIARIOPARTICIPE_TYPE,NUMEROCEDULABENEFICIARIO,,
beneficiarioParticipeType,"sfct_beneficiario,sfct_beneficiario_retiro",BENEFICIARIOPARTICIPE_TYPE,NUMEROCUENTA,,
beneficiarioParticipeType,"sfct_beneficiario,sfct_beneficiario_retiro",BENEFICIARIOPARTICIPE_TYPE,PORCENTAJEDISTRIBUCIONVALORES,,
